lakeid,sta,year,lastice,datelastice,firstopen,datefirstopen,lastopen,datelastopen,firstice,datefirstice
"CR","1","2001","110","2001-04-20 00:00:00","113","2001-04-23 00:00:00","358","2001-12-24 00:00:00","360","2001-12-26 00:00:00"
"CR","1","2002","107","2002-04-17 00:00:00","109","2002-04-19 00:00:00","329","2002-11-25 00:00:00","331","2002-11-27 00:00:00"
"CR","1","2003","113","2003-04-23 00:00:00","114","2003-04-24 00:00:00","335","2003-12-01 00:00:00","337","2003-12-03 00:00:00"
"CR","1","2004","107","2004-04-16 00:00:00","110","2004-04-19 00:00:00","350","2004-12-15 00:00:00","352","2004-12-17 00:00:00"
"CR","1","2005","103","2005-04-13 00:00:00","105","2005-04-15 00:00:00","336","2005-12-02 00:00:00","337","2005-12-03 00:00:00"
"CR","1","2006","102","2006-04-12 00:00:00","103","2006-04-13 00:00:00","338","2006-12-04 00:00:00","339","2006-12-05 00:00:00"
"CR","1","2007","99","2007-04-09 00:00:00","102","2007-04-12 00:00:00","334","2007-11-30 00:00:00","337","2007-12-03 00:00:00"
"CR","1","2008","120","2008-04-29 00:00:00","121","2008-04-30 00:00:00","333","2008-11-28 00:00:00","336","2008-12-01 00:00:00"
"CR","1","2009","107","2009-04-17 00:00:00","110","2009-04-20 00:00:00","344","2009-12-10 00:00:00","345","2009-12-11 00:00:00"
"CR","1","2010","85","2010-03-26 00:00:00","88","2010-03-29 00:00:00","336","2010-12-02 00:00:00","338","2010-12-04 00:00:00"
"CR","1","2011","117","2011-04-27 00:00:00","118","2011-04-28 00:00:00","","","",""
"LR","1","1983","","","117","1983-04-27 00:00:00","","","318","1983-11-14 00:00:00"
"LR","1","1984","104","1984-04-13 00:00:00","107","1984-04-16 00:00:00","316","1984-11-11 00:00:00","317","1984-11-12 00:00:00"
"LR","1","1985","109","1985-04-19 00:00:00","110","1985-04-20 00:00:00","315","1985-11-11 00:00:00","325","1985-11-21 00:00:00"
"LR","1","1986","101","1986-04-11 00:00:00","102","1986-04-12 00:00:00","314","1986-11-10 00:00:00","315","1986-11-11 00:00:00"
"LR","1","1987","98","1987-04-08 00:00:00","99","1987-04-09 00:00:00","324","1987-11-20 00:00:00","327","1987-11-23 00:00:00"
"LR","1","1988","100","1988-04-09 00:00:00","102","1988-04-11 00:00:00","321","1988-11-16 00:00:00","323","1988-11-18 00:00:00"
"LR","1","1989","111","1989-04-21 00:00:00","114","1989-04-24 00:00:00","319","1989-11-15 00:00:00","321","1989-11-17 00:00:00"
